method,head,coverage,error_rate
dropout,head1,0.8040540540540541,0.0239495798319328
dropout,head1,0.7991554054054054,0.023250898330162806
dropout,head1,0.7940878378378379,0.02297383535417996
dropout,head1,0.7890202702702702,0.02247912652536932
dropout,head1,0.7841216216216216,0.02218871176217152
dropout,head1,0.779054054054054,0.021465741543798766
dropout,head1,0.7739864864864865,0.021169794849410728
dropout,head1,0.768918918918919,0.02065026362038669
dropout,head1,0.7640202702702703,0.020561574176431563
dropout,head1,0.7589527027027027,0.0202537280213666
dropout,head1,0.7538851351351351,0.019717678691463125
dropout,head1,0.7488175675675676,0.018948793142341547
dropout,head1,0.7439189189189189,0.01884650317892822
dropout,head1,0.7388513513513514,0.018289894833104725
dropout,head1,0.7337837837837838,0.017495395948434633
dropout,head1,0.7287162162162162,0.016921650440426483
dropout,head1,0.7238175675675675,0.01656942823803964
dropout,head1,0.71875,0.01598119858989422
dropout,head1,0.7136824324324325,0.015147928994082793
dropout,head1,0.7086148648648649,0.014779499404052432
dropout,head1,0.7037162162162162,0.014402304368698937
dropout,head1,0.6986486486486486,0.013056092843326872
dropout,head1,0.6935810810810811,0.012907939600584561
dropout,head1,0.6885135135135135,0.01251226692836116
dropout,head1,0.6836148648648649,0.012107734124042535
dropout,head1,0.6785472972972973,0.011949215832711024
dropout,head1,0.6734797297297297,0.012039127163280705
dropout,head1,0.6684121621621621,0.012130401819560266
dropout,head1,0.6635135135135135,0.01196537678207743
dropout,head1,0.658445945945946,0.011287839917906606
dropout,head1,0.6533783783783784,0.011116856256463303
dropout,head1,0.6483108108108108,0.010161542470036422
dropout,head1,0.6434121621621621,0.009713835652402247
dropout,head1,0.6383445945945946,0.009526329716856297
dropout,head1,0.633277027027027,0.00906908508935711
dropout,head1,0.6282094594594595,0.009142242538316747
dropout,head1,0.6233108108108109,0.009214092140921393
dropout,head1,0.6182432432432432,0.008743169398907069
dropout,head1,0.6131756756756757,0.008815426997245135
dropout,head1,0.6081081081081081,0.008611111111111125
dropout,head1,0.6032094594594595,0.008681041725007055
dropout,head1,0.5981418918918919,0.008754589099124521
dropout,head1,0.5930743243243243,0.008544574195385901
dropout,head1,0.5881756756756756,0.008041355542791506
dropout,head1,0.5831081081081081,0.007531865585168052
dropout,head1,0.5780405405405405,0.007597895967270563
dropout,head1,0.572972972972973,0.007665094339622591
dropout,head1,0.5680743243243244,0.007433838834374096
dropout,head1,0.5630067567567567,0.007200720072007227
dropout,head1,0.5579391891891892,0.0072661217075385975
